001,Monday,1200,1300,UFMFUT-15-3,Human Robot Interaction Technologies,2E27,Brener Paul Giuliani Manuel Wang Ning
002,Monday,1300,1400,UFMFV8-15-3,Group Design and Integration Project,2B020,Western David
003,Tuesday,1200,1400,UFMFUT-15-3,Human Robot Interaction Technologies,0T134,Brener Paul Giuliani Manuel Wang Ning
004,Wednesday,0830,1030,UFMFV8-15-3,Group Design and Integration Project,3Z031,Handrill Will Sardinha Emanuel
005,Wednesday,1300,1400,Drop-In,Optional Drop-In Session in Z-Block Atrium,Z block,Mossbrucker Joerg Whitting James
006,Thursday,0930,1030,UFMFTT-30-3,Advanced vision for localisation and mapping,4E06,Atkinson Gary Pearson Martin
007,Thursday,1030,1230,UFMFTT-30-3,Advanced vision for localisation and mapping,3Z033,Pearson Martin Atkinson Gary
